x,y
22.8167,0.781
22.9505,0.8256
23.0869,0.6595
23.1442,1.0797
23.1823,1.4301
23.2233,1.2541
23.2997,0.7324
23.3792,1.1629
23.5028,0.623
23.5611,0.6366
23.5671,1.1816
23.5894,1.0329
23.6192,0.7182
23.6821,0.6655
23.7371,1.0429
23.7503,0.782
23.7665,0.9224
23.7994,1.0405
23.8293,1.3036
23.8477,0.8132
23.8974,0.7643
23.9292,0.6903
23.9476,1.5168
24.0043,1.3944
24.0686,1.4711
24.1554,1.6137
24.3154,1.2195
24.4626,1.0609
24.4631,1.2756
24.5052,1.0391
24.5151,1.1472
24.5161,1.746
24.5188,1.7333
24.5518,1.3768
24.564,1.6159
24.5968,1.9194
24.6014,1.7914
24.6178,1.9459
24.6448,1.0706
24.6555,1.1245
24.6962,1.786
24.7712,1.7607
24.8193,1.9595
24.829,1.9029
24.8533,1.4893
24.8993,1.3085
24.9223,2.0365
24.9547,2.1654
24.9883,1.9653
25.0761,2.1349
25.0771,1.583
25.0894,2.0389
