x,y
16.5144,0.4531
22.7414,0.7925
18.5877,2.2179
15.4628,0.8605
10.1287,0.934
11.1464,2.0905
3.7934,0.8295
0.3331,2.2821
5.2514,1.7583
17.4757,2.0947
23.0964,1.327
23.095,0.7157
13.4211,2.3883
18.9874,2.366
19.7616,1.8215
17.9251,1.9567
13.231,2.4019
5.6587,2.3903
15.6344,0.8395
7.7143,2.1938
15.7501,0.3877
5.356,2.4992
17.5172,2.2042
1.6212,1.6154
5.7798,2.8563
6.8883,2.2164
22.2798,0.4368
10.9949,1.3419
19.8361,2.5728
3.6112,0.3713
16.3738,0.8053
24.8832,2.139
3.0516,0.4422
3.6689,0.2642
2.7853,1.0302
9.5353,0.4164
16.1801,0.4166
12.6432,3.0845
22.2518,1.0688
18.3358,2.9527
20.5488,1.5798
6.4355,2.4853
18.9891,2.7185
4.8483,1.4397
15.1727,1.0641
3.1295,0.7157
8.2161,1.0117
13.3845,2.0735
14.2986,1.8275
24.3584,1.823
13.5214,2.1408
17.085,1.071
0.9677,2.2068
10.5773,1.2725
6.168,2.7516
7.9124,1.718
11.321,2.0331
11.0071,1.3444
20.7427,1.7006
14.493,1.4101
24.2804,2.1778
8.0591,1.7618
2.9158,0.2122
5.2127,2.0969
3.7185,0.3434
22.8222,1.1506
17.084,1.7417
21.36,0.3849
24.8444,2.7658
18.1302,2.0543
19.0297,2.404
6.0388,2.7628
6.78,2.1402
1.7159,1.2698
12.2852,2.3002
5.8759,2.7309
10.3328,0.6197
5.8767,2.4294
0.4485,2.9673
0.361,2.3445
19.048,2.2873
14.8283,0.8485
5.44,2.6959
22.1241,0.4594
16.8818,1.0291
1.1751,2.1317
5.2638,2.4728
6.7679,2.7777
23.0191,0.6313
16.0986,0.8351
8.0897,1.073
2.5839,1.1587
17.4999,1.3709
16.9009,1.4403
9.723,0.3466
5.4238,1.8447
2.6851,0.292
11.6785,2.3343
18.2624,2.7188
2.2815,1.2299
21.6881,0.6037
22.1571,0.8914
1.1838,2.0412
18.2005,2.5994
16.1971,1.0613
3.9897,0.6296
15.3586,0.9803
14.5924,0.6693
21.5965,1.1024
8.724,0.8611
12.4372,2.1437
18.7811,2.3405
1.4218,1.3742
24.7109,2.5121
13.6804,2.2384
14.9791,0.97
13.439,1.8346
5.6839,2.8508
2.4188,1.3496
0.357,2.3988
5.1044,1.6405
2.525,1.2367
20.6213,1.3835
7.0473,2.5353
4.3305,1.1285
3.5895,0.9104
9.7453,0.7859
9.5005,0.1085
4.592,1.303
23.4782,1.8203
24.662,2.5621
12.6923,3.0189
17.527,1.8734
13.3745,2.5201
9.7041,0.2208
22.0649,1.0337
15.3547,0.3612
8.8214,1.0539
9.2137,0.683
25.0872,2.5423
10.0218,0.934
15.4037,0.4696
15.4797,0.411
14.8106,0.8989
14.2835,1.404
3.3443,1.1002
14.0773,1.5093
9.7967,0.4073
22.5446,1.0804
4.2745,1.669
5.97,2.7519
7.1629,2.2399
5.4833,2.2267
24.2092,2.3994
6.6724,3.0144
17.315,1.7339
5.6192,1.9288
19.2752,2.3074
24.325,2.0843
5.0852,2.3905
23.7495,1.4236
22.1886,0.5758
3.3315,0.7308
21.8162,0.3669
1.3692,1.596
5.8909,2.2295
22.3384,1.0592
16.9514,1.1602
17.5228,1.7129
23.1134,1.597
12.9429,2.4372
10.6853,1.1356
4.0571,1.4441
2.2703,0.8931
14.1351,2.0113
16.6784,1.4689
16.7223,0.9635
13.7432,2.1745
20.775,1.2618
24.3887,1.9456
9.1794,0.8607
22.3132,0.164
24.4083,2.7805
0.3709,2.5859
14.4368,0.9445
23.8966,1.6478
20.7818,1.6825
21.1058,0.8382
5.7469,2.0712
24.5325,2.1676
23.0777,0.9963
6.3913,2.8892
22.5057,0.5115
15.9576,1.1227
6.0496,2.0875
0.5259,2.7383
6.6372,2.6578
6.843,2.3017
16.9494,1.4297
11.5685,2.4528
15.8715,0.5984
23.3156,0.8978
3.3297,1.0951
7.0058,2.4136
12.5556,2.6706
18.0251,2.1287
12.4987,2.6729
20.7643,1.4365
7.9647,1.352
12.926,2.2432
17.5832,1.7848
22.3033,0.7106
3.3071,0.3979
23.4498,1.2188
5.8132,2.1435
5.322,2.2059
23.3063,1.0534
2.0998,1.4232
20.2782,1.428
10.2721,1.1041
19.5141,2.7442
20.0381,2.2692
6.2693,2.8726
22.7149,0.3619
9.4736,0.8587
1.9581,1.2368
18.9564,2.3154
9.2634,0.544
24.0662,2.0383
5.9669,2.3368
21.8874,0.9409
15.4464,0.1757
24.5953,2.7936
14.9601,0.7323
6.5894,2.3416
4.6155,1.5161
6.5478,2.6067
18.9673,2.5929
22.3805,1.1322
16.7782,1.3186
12.5416,3.0052
7.9384,1.1603
9.2841,0.9032
11.8939,1.9134
8.3615,0.7378
13.9362,2.2717
15.8696,0.759
3.0283,0.7163
23.7675,2.1004
20.0998,1.9013
9.6647,0.4044
6.4731,2.3593
20.043,2.1276
22.2695,0.709
9.024,0.8279
23.8999,2.273
6.0073,2.7475
2.958,0.8983
9.2485,0.4077
19.7885,1.7164
24.0872,1.9783
15.1278,1.238
2.6363,1.1037
11.3354,1.8602
17.5261,1.7692
8.1404,1.0156
17.5257,1.918
21.6744,0.1521
18.4595,2.0612
1.1678,2.066
14.6184,0.9516
21.5632,1.0128
5.6617,2.8964
3.962,0.6094
3.2821,1.1068
17.0066,1.1235
2.6846,0.708
21.2373,0.8288
4.5446,1.7062
17.2788,1.19
3.7126,1.1678
20.6859,0.9894
9.0911,0.4589
5.0398,2.1449
10.1232,0.6607
20.5354,1.3475
24.4453,2.0872
13.8729,2.1368
16.2524,0.4045
15.0666,0.8496
23.5104,1.208
17.7583,2.279
15.8457,0.7691
3.8307,0.6884
23.3985,1.2321
23.4598,1.5773
20.4412,1.7833
23.2631,0.9254
13.2909,2.2884
14.5865,1.3233
4.1246,0.5612
13.7429,2.0797
15.6743,0.9524
8.5033,0.9686
4.8074,1.3595
23.3166,1.7266
15.9417,0.915
23.5883,1.5263
3.0654,0.4692
8.8837,0.9677
2.6687,0.664
12.2302,3.0329
13.3602,2.2459
3.0609,0.8486
9.1039,0.5067
17.2675,1.9193
10.9583,1.3573
13.0011,2.3749
23.5657,1.2518
23.458,1.1642
16.1742,1.0523
5.7464,2.2831
12.3256,2.8719
4.1204,1.1886
7.402,2.2905
11.7654,2.2728
16.3919,0.7721
18.971,2.3114
14.4794,0.9499
10.7265,1.5001
18.3005,2.3894
18.3154,2.6346
18.5099,2.9998
2.3679,1.021
20.7886,0.8356
19.4718,2.0455
5.1895,1.7229
24.8619,2.4314
0.373,2.5015
11.8329,1.9017
10.6901,1.322
21.6051,0.7423
11.5604,2.0951
3.9172,0.6889
15.1422,1.0649
2.4955,1.2327
8.4111,1.4332
15.1031,1.1046
5.5237,2.6835
21.8643,0.9042
3.0,1.0722
12.4898,2.1546
0.1343,2.6385
